OG240_0	c2_AC005224.1,c4_AC005224.1,c3_AC005224.1,c1_AC005224.1,c5_AC005224.1
OG241_0	c2_AC005224.3,c4_AC005224.3,c3_AC005224.3,c1_AC005224.3,c5_AC005224.3
OG242_0	c2_AC005224.4,c4_AC005224.4,c3_AC005224.4,c1_AC005224.4,c5_AC005224.4
OG243_0	c2_AC005225.2,c4_AC005225.2,c3_AC005225.2,c1_AC005225.2,c5_AC005225.2
OG244_0	c2_AC005229.4,c4_AC005229.4,c3_AC005229.4,c1_AC005229.4,c5_AC005229.4
OG245_0	c2_AC005253.1,c4_AC005253.1,c3_AC005253.1,c1_AC005253.1,c5_AC005253.1
OG246_0	c2_AC005256.1,c4_AC005256.1,c3_AC005256.1,c1_AC005256.1,c5_AC005256.1
OG247_0	c2_AC005261.1,c4_AC005261.1,c3_AC005261.1,c1_AC005261.1,c5_AC005261.1
OG248_0	c2_AC005261.2,c4_AC005261.2,c3_AC005261.2,c1_AC005261.2,c5_AC005261.2
OG249_0	c2_AC005261.3,c4_AC005261.3,c3_AC005261.3,c1_AC005261.3,c5_AC005261.3
OG250_0	c2_AC005277.2,c4_AC005277.2,c3_AC005277.2,c1_AC005277.2,c5_AC005277.2
OG251_0	c2_AC005288.1,c4_AC005288.1,c3_AC005288.1,c1_AC005288.1,c5_AC005288.1
OG252_0	c2_AC005304.3,c4_AC005304.3,c3_AC005304.3,c1_AC005304.3,c5_AC005304.3
OG253_0	c2_AC005307.1,c4_AC005307.1,c3_AC005307.1,c1_AC005307.1,c5_AC005307.1
OG254_0	c2_AC005324.3,c4_AC005324.3,c3_AC005324.3,c1_AC005324.3,c5_AC005324.3
OG255_0	c2_AC005329.1,c4_AC005329.1,c3_AC005329.1,c1_AC005329.1,c5_AC005329.1
OG256_0	c2_AC005329.2,c4_AC005329.2,c3_AC005329.2,c1_AC005329.2,c5_AC005329.2
OG257_0	c2_AC005330.1,c4_AC005330.1,c3_AC005330.1,c1_AC005330.1,c5_AC005330.1
OG258_0	c2_AC005332.1,c4_AC005332.1,c3_AC005332.1,c1_AC005332.1,c5_AC005332.1
OG259_0	c2_AC005332.3,c4_AC005332.3,c3_AC005332.3,c1_AC005332.3,c5_AC005332.3
OG260_0	c2_AC005332.4,c4_AC005332.4,c3_AC005332.4,c1_AC005332.4,c5_AC005332.4
