Gene	c2	c4	c3	Anc3	Anc2	c1	c5	Anc4	Anc1
c1_CEP126	3	3	3	3	3	2	3	3	3
c1_CFAP47	3	3	3	3	3	2	3	3	3
c1_CFAP53	3	3	3	3	3	2	3	3	3
c1_CFAP97D2	3	3	3	3	3	2	3	3	3
c1_CFLAR	3	3	3	3	3	2	3	3	3
c1_CHID1	3	3	3	3	3	2	3	3	3
c1_CHPF2	3	3	3	3	3	2	3	3	3
c1_CHRDL1	3	3	3	3	3	2	3	3	3
c1_CNNM1	3	3	3	3	3	2	3	3	3
c1_COL1A1	3	3	3	3	3	2	3	3	3
c1_COL21A1	3	3	3	3	3	2	3	3	3
c1_COL5A3	3	3	3	3	3	2	3	3	3
c1_COLEC12	3	3	3	3	3	2	3	3	3
c1_CREB5	3	3	3	3	3	2	3	3	3
c1_CRIP2	3	3	3	3	3	2	3	3	3
c1_CXCL16	3	3	3	3	3	2	3	3	3
c1_CYB5R3	3	3	3	3	3	2	3	3	3
c1_CYP39A1	3	3	3	3	3	2	3	3	3
c1_CYTOR	3	3	3	3	3	2	3	3	3
c1_DAB1	3	3	3	3	3	2	3	3	3
c1_DCBLD1	3	3	3	3	3	2	3	3	3
c1_DDX60L	3	3	3	3	3	2	3	3	3
c1_DENND2A	3	3	3	3	3	2	3	3	3
c1_DNAH12	3	3	3	3	3	2	3	3	3
c1_DNAH6	3	3	3	3	3	2	3	3	3
c1_DNAI1	3	3	3	3	3	2	3	3	3
c1_DNAJB13	3	3	3	3	3	2	3	3	3
c1_DRC3	3	3	3	3	3	2	3	3	3
c1_DSE	3	3	3	3	3	2	3	3	3
c1_DST	3	3	3	3	3	2	3	3	3
c1_DSTN	3	3	3	3	3	2	3	3	3
c1_EFCAB14	3	3	3	3	3	2	3	3	3
c1_EFCAB6	3	3	3	3	3	2	3	3	3
c1_EFHB	3	3	3	3	3	2	3	3	3
c1_EFNB2	3	3	3	3	3	2	3	3	3
c1_EHD2	3	3	3	3	3	2	3	3	3
c1_EIF3G	3	3	3	3	3	2	3	3	3
c1_ELMO1	3	3	3	3	3	2	3	3	3
c1_ELOB	3	3	3	3	3	2	3	3	3
c1_ENO4	3	3	3	3	3	2	3	3	3
c1_ETV1	3	3	3	3	3	2	3	3	3
c1_EXPH5	3	3	3	3	3	2	3	3	3
c1_EXT1	3	3	3	3	3	2	3	3	3
c1_FAM174B	3	3	3	3	3	2	3	3	3
c1_FAM227A	3	3	3	3	3	2	3	3	3
c1_FBN1	3	3	3	3	3	2	3	3	3
c1_FGF13-AS1	3	3	3	3	3	2	3	3	3
c1_FHAD1	3	3	3	3	3	2	3	3	3
c1_FIGN	3	3	3	3	3	2	3	3	3
c1_FILIP1L	3	3	3	3	3	2	3	3	3
c1_FLNB	3	3	3	3	3	2	3	3	3
c1_FN1	3	3	3	3	3	2	3	3	3
c1_FRMD4A	3	3	3	3	3	2	3	3	3
c1_FURIN	3	3	3	3	3	2	3	3	3
c1_FUT8	3	3	3	3	3	2	3	3	3
c1_GALNS	3	3	3	3	3	2	3	3	3
c1_GALNT10	3	3	3	3	3	2	3	3	3
c1_GALNT5	3	3	3	3	3	2	3	3	3
c1_GHR	3	3	3	3	3	2	3	3	3
c1_GLG1	3	3	3	3	3	2	3	3	3
c1_GLI3	3	3	3	3	3	2	3	3	3
c1_GLIPR1	3	3	3	3	3	2	3	3	3
c1_GNS	3	3	3	3	3	2	3	3	3
c1_GOLGA4	3	3	3	3	3	2	3	3	3
c1_GPR1	3	3	3	3	3	2	3	3	3
c1_HEG1	3	3	3	3	3	2	3	3	3
c1_HEXIM1	3	3	3	3	3	2	3	3	3
c1_HIPK1	3	3	3	3	3	2	3	3	3
c1_HS3ST4	3	3	3	3	3	2	3	3	3
c1_IDE	3	3	3	3	3	2	3	3	3
c1_IFNAR1	3	3	3	3	3	2	3	3	3
c1_IFT122	3	3	3	3	3	2	3	3	3
c1_IFT88	3	3	3	3	3	2	3	3	3
c1_IGFBP7-AS1	3	3	3	3	3	2	3	3	3
c1_IL5RA	3	3	3	3	3	2	3	3	3
c1_IQCG	3	3	3	3	3	2	3	3	3
c1_ITIH2	3	3	3	3	3	2	3	3	3
c1_JPH2	3	3	3	3	3	2	3	3	3
c1_KCNF1	3	3	3	3	3	2	3	3	3
c1_KCNK13	3	3	3	3	3	2	3	3	3
c1_KIAA2012	3	3	3	3	3	2	3	3	3
c1_LOXL3	3	3	3	3	3	2	3	3	3
c1_LPL	3	3	3	3	3	2	3	3	3
c1_LRGUK	3	3	3	3	3	2	3	3	3
c1_LRP6	3	3	3	3	3	2	3	3	3
c1_LYN	3	3	3	3	3	2	3	3	3
c1_MAFK	3	3	3	3	3	2	3	3	3
c1_MAN1A1	3	3	3	3	3	2	3	3	3
c1_MBNL2	3	3	3	3	3	2	3	3	3
c1_MED14	3	3	3	3	3	2	3	3	3
c1_MOK	3	3	3	3	3	2	3	3	3
c1_MS4A8	3	3	3	3	3	2	3	3	3
c1_MSRB3	3	3	3	3	3	2	3	3	3
c1_MUC19	3	3	3	3	3	2	3	3	3
c1_MYL6	3	3	3	3	3	2	3	3	3
c1_NBPF26	3	3	3	3	3	2	3	3	3
c1_NCMAP	3	3	3	3	3	2	3	3	3
c1_NEK7	3	3	3	3	3	2	3	3	3
c1_NFIB	3	3	3	3	3	2	3	3	3
c1_NPW	3	3	3	3	3	2	3	3	3
c1_NRBP2	3	3	3	3	3	2	3	3	3
c1_ODF3L1	3	3	3	3	3	2	3	3	3
c1_OGFOD3	3	3	3	3	3	2	3	3	3
c1_OLFML2A	3	3	3	3	3	2	3	3	3
c1_OTULINL	3	3	3	3	3	2	3	3	3
c1_PCDHGC3	3	3	3	3	3	2	3	3	3
c1_PDE8B	3	3	3	3	3	2	3	3	3
c1_PFDN5	3	3	3	3	3	2	3	3	3
c1_PIH1D3	3	3	3	3	3	2	3	3	3
c1_PLEKHA4	3	3	3	3	3	2	3	3	3
c1_PLEKHA5	3	3	3	3	3	2	3	3	3
c1_POMT2	3	3	3	3	3	2	3	3	3
c1_PPP1R3C	3	3	3	3	3	2	3	3	3
c1_PPP2CB	3	3	3	3	3	2	3	3	3
c1_PQLC3	3	3	3	3	3	2	3	3	3
c1_PRKG1	3	3	3	3	3	2	3	3	3
c1_PRR29	3	3	3	3	3	2	3	3	3
c1_RAB7B	3	3	3	3	3	2	3	3	3
c1_RBM24	3	3	3	3	3	2	3	3	3
c1_RBM43	3	3	3	3	3	2	3	3	3
c1_RGS12	3	3	3	3	3	2	3	3	3
c1_RND3	3	3	3	3	3	2	3	3	3
c1_RNF144B	3	3	3	3	3	2	3	3	3
c1_ROCK1	3	3	3	3	3	2	3	3	3
c1_RP2	3	3	3	3	3	2	3	3	3
c1_RPL10	3	3	3	3	3	2	3	3	3
c1_RPL10A	3	3	3	3	3	2	3	3	3
c1_RPL11	3	3	3	3	3	2	3	3	3
c1_RPL13	3	3	3	3	3	2	3	3	3
c1_RPL13A	3	3	3	3	3	2	3	3	3
c1_RPL27	3	3	3	3	3	2	3	3	3
c1_RPL28	3	3	3	3	3	2	3	3	3
c1_RPL3	3	3	3	3	3	2	3	3	3
c1_RPL37	3	3	3	3	3	2	3	3	3
c1_RPL37A	3	3	3	3	3	2	3	3	3
c1_RPL38	3	3	3	3	3	2	3	3	3
c1_RPL5	3	3	3	3	3	2	3	3	3
c1_RPL6	3	3	3	3	3	2	3	3	3
c1_RPL7A	3	3	3	3	3	2	3	3	3
c1_RPL9	3	3	3	3	3	2	3	3	3
c1_RPLP2	3	3	3	3	3	2	3	3	3
c1_RPN1	3	3	3	3	3	2	3	3	3
c1_RPS14	3	3	3	3	3	2	3	3	3
c1_RPS16	3	3	3	3	3	2	3	3	3
c1_RPS23	3	3	3	3	3	2	3	3	3
c1_RPS24	3	3	3	3	3	2	3	3	3
c1_RPS27A	3	3	3	3	3	2	3	3	3
c1_RPS3	3	3	3	3	3	2	3	3	3
c1_RPS4X	3	3	3	3	3	2	3	3	3
c1_RPS5	3	3	3	3	3	2	3	3	3
c1_RPS6KB2	3	3	3	3	3	2	3	3	3
c1_RSPO3	3	3	3	3	3	2	3	3	3
c1_RSRP1	3	3	3	3	3	2	3	3	3
c1_RTRAF	3	3	3	3	3	2	3	3	3
c1_RUVBL1	3	3	3	3	3	2	3	3	3
c1_SAMD15	3	3	3	3	3	2	3	3	3
c1_SCGB1A1	3	3	3	3	3	2	3	3	3
c1_SCUBE2	3	3	3	3	3	2	3	3	3
c1_SEC11A	3	3	3	3	3	2	3	3	3
c1_SEC31A	3	3	3	3	3	2	3	3	3
c1_SEC61B	3	3	3	3	3	2	3	3	3
c1_SERPINI2	3	3	3	3	3	2	3	3	3
c1_SFRP4	3	3	3	3	3	2	3	3	3
c1_SLC12A1	3	3	3	3	3	2	3	3	3
c1_SLC15A2	3	3	3	3	3	2	3	3	3
c1_SLC20A2	3	3	3	3	3	2	3	3	3
c1_SLC9A3R2	3	3	3	3	3	2	3	3	3
c1_SPEF2	3	3	3	3	3	2	3	3	3
c1_SUCO	3	3	3	3	3	2	3	3	3
c1_SUSD1	3	3	3	3	3	2	3	3	3
c1_TBC1D4	3	3	3	3	3	2	3	3	3
c1_TEX15	3	3	3	3	3	2	3	3	3
c1_TGFBI	3	3	3	3	3	2	3	3	3
c1_TGFBR2	3	3	3	3	3	2	3	3	3
