ffinal3...1.	WTCa_vs_WT	WT_vs_WTFK	WT_vs_cna1	WT_vs_crz1	WTCa_vs_WTFK	WTCa_vs_cna1	WTCa_vs_crz1	WTFK_vs_cna1	WTFK_vs_crz1	cna1_vs_crz1
CAGL0A00825g	0.130894161	-0.1452169547	-0.1931297975	0.0105203281999999	-0.0143227937	-0.0622356365	0.1414144892	-0.0479128428	0.1557372829	0.2036501257
CAGL0A00847g	0.0901279985	-0.1650717044	-0.6901088848	-0.4605801628	-0.0749437058999999	-0.5999808863	-0.3704521643	-0.5250371804	-0.2955084584	0.229528722
CAGL0A00869g	-0.1724661114	0.1535518174	0.0702229261	0.0944725701000001	-0.018914294	-0.1022431853	-0.0779935413	-0.0833288913	-0.0590792473	0.024249644
CAGL0A00891g	0.0771121	-0.0572938246	0.0414372483	-0.00353450920000000	0.0198182754000000	0.1185493483	0.0735775908	0.0987310729	0.0537593154	-0.0449717575
CAGL0A00913g	-0.1005887433	0.0742011345	0.1572679885	0.1520145522	-0.0263876088000000	0.0566792452	0.0514258089	0.0830668540000001	0.0778134177000001	-0.00525343630000002
CAGL0A00935g	-0.0402192788	0.0101887999000000	-0.0742327897999999	0.1494484501	-0.0300304789000001	-0.1144520686	0.1092291713	-0.0844215897	0.139259650200000	0.2236812399
CAGL0A00957g	-0.0496051936999999	0.168970542	0.3437107827	0.0997764271	0.1193653483	0.294105589	0.0501712333999999	0.1747402407	-0.0691941149	-0.2439343556
CAGL0A00979g	-0.1223463254	0.0686786893000002	-0.103196657900000	-0.0131206847999997	-0.0536676360999999	-0.225542983300000	-0.135467010200000	-0.1718753472	-0.0817993740999998	0.0900759731000001
CAGL0A01001g	0.000520976699999996	0.0151749124	0.0452029457	0.1413642386	0.0156958891000000	0.0457239224	0.1418852153	0.0300280333	0.1261893262	0.0961612929
CAGL0A01023g	0.2644131832	-0.2521069908	-0.468121819	0.130299245	0.0123061924000000	-0.2037086358	0.3947124282	-0.216014828200000	0.3824062358	0.598421064
CAGL0A01045g	-0.0674465053	0.172855746	0.3317676864	0.0642122808	0.1054092407	0.2643211811	-0.00323422450000001	0.1589119404	-0.1086434652	-0.2675554056
CAGL0A01067g	0.148960585	-0.1128862828	-0.1869056445	0.0478868468	0.0360743022	-0.0379450595	0.1968474318	-0.0740193617	0.1607731296	0.2347924913
CAGL0A01089g	-0.2519314028	0.7417785087	0.3150692544	1.2900612751	0.489847105900000	0.0631378515999997	1.0381298723	-0.4267092543	0.548282766400001	0.9749920207
CAGL0A01111g	0.0151593835999999	-0.2974739721	0.0133426004000000	0.1123209258	-0.2823145885	0.028501984	0.1274803094	0.3108165725	0.4097948979	0.0989783254
CAGL0A01133g	0.1818171225	-0.0510124243	-0.0109915678	-0.0152574614	0.1308046982	0.1708255547	0.1665596611	0.0400208565	0.0357549629	-0.00426589360000000
CAGL0A01155g	0.0612314577	-0.4935651876	-0.4215894025	0.0526474792999999	-0.4323337299	-0.3603579448	0.113878937000000	0.0719757851	0.5462126669	0.4742368818
CAGL0A01177g	-0.0199919789	-0.1009489588	-0.1918285326	-0.096647462	-0.1209409377	-0.2118205115	-0.1166394409	-0.0908795738	0.00430149679999998	0.0951810706
CAGL0A01199g	0.374690445	-0.2731554707	-0.7174128791	0.4343449818	0.101534974300000	-0.3427224341	0.8090354268	-0.4442574084	0.7075004525	1.1517578609
CAGL0A01221g	0.2313289946	-0.2891947884	-0.7529105078	0.2495270928	-0.0578657938	-0.5215815132	0.4808560874	-0.4637157194	0.5387218812	1.0024376006
CAGL0A01243g	-0.6117152835	0.0604439131000001	0.0429922667000003	0.7461175387	-0.5512713704	-0.5687230168	0.1344022552	-0.0174516463999999	0.6856736256	0.703125272
CAGL0A01265g	-0.1246740103	0.1253240331	0.1654277772	0.0286879749	0.00065002280000002	0.0407537668999999	-0.0959860354	0.0401037441000000	-0.0966360582	-0.1367398023
CAGL0A01276g	-0.00480769689999998	-0.018226872	0.0555190315	0.0528457381	-0.0230345689	0.0507113346	0.0480380412	0.0737459035	0.0710726101	-0.00267329339999999
CAGL0A01364g	-0.0788807516	0.1288081879	0.1095945186	0.1884577109	0.0499274363	0.030713767	0.1095769593	-0.0192136692999999	0.0596495230000001	0.0788631923
CAGL0A01386g	-0.2127459515	0.1477015148	0.397209091	0.0543851582	-0.0650444367	0.1844631395	-0.1583607933	0.2495075762	-0.0933163566	-0.3428239328
CAGL0A01408g	-0.0174591574000000	-0.0203734888999999	0.0817901217	0.0913157673	-0.0378326463	0.0643309643	0.0738566099	0.1021636106	0.1116892562	0.00952564560000003
CAGL0A01430g	0.3212152095	-0.1068015505	0.0410766024999999	-0.081955731	0.214413659	0.362291812	0.2392594785	0.147878153	0.0248458195	-0.1230323335
CAGL0A01452g	0.1068521536	0.038375225	-0.111999466	-0.0179181909	0.1452273786	-0.0051473124	0.0889339627	-0.150374691	-0.0562934159	0.0940812751
CAGL0A01474g	-0.2140091581	0.1423995728	0.4512881563	0.1483998198	-0.0716095853	0.2372789982	-0.0656093383	0.3088885835	0.00600024699999991	-0.3028883365
CAGL0A01540g	0.1472241115	-0.0425150083	-0.0879067159	-0.00508240129999999	0.1047091032	0.0593173956	0.1421417102	-0.0453917076	0.037432607	0.0828243146
CAGL0A01562g	0.0908385432	-0.0352429320999999	0.0525484184000001	0.0202449149000001	0.0555956111	0.1433869616	0.1110834581	0.0877913505000001	0.0554878470000001	-0.0323035034999999
CAGL0A01584g	-0.3204855297	0.6717176838	0.594506696	0.502779289	0.3512321541	0.2740211663	0.1822937593	-0.0772109878	-0.1689383948	-0.0917274069999999
CAGL0A01606g	0.0448700834	-0.250328146	-0.5756339753	-0.0270736723000000	-0.2054580626	-0.5307638919	0.0177964111000000	-0.3253058293	0.2232544737	0.548560303
CAGL0A01628g	0.1273121755	-0.3186736408	-0.4543522619	-0.2214563998	-0.1913614653	-0.3270400864	-0.0941442243	-0.1356786211	0.097217241	0.2328958621
CAGL0A01650g	0.5594814743	-0.8411904299	-0.5753775698	-0.2381911785	-0.2817089556	-0.0158960955	0.3212902958	0.2658128601	0.6029992514	0.3371863913
CAGL0A01672g	0.0142174209	0.0196907918000000	0.0971140971	-0.00209430000000003	0.0339082127	0.111331518	0.0121231209000000	0.0774233053	-0.0217850918	-0.0992083971
CAGL0A01694g	-0.0699546961	0.2617982483	0.4414619368	0.3398249388	0.1918435522	0.3715072407	0.2698702427	0.1796636885	0.0780266905	-0.101636998
CAGL0A01716g	-0.6449984092	0.7218242046	1.2535273446	0.0731465116	0.0768257953999998	0.6085289354	-0.5718518976	0.53170314	-0.648677693	-1.180380833
CAGL0A01738g	0.2611606075	0.0947570347	0.1950505688	-0.353312417	0.3559176422	0.4562111763	-0.0921518095	0.1002935341	-0.4480694517	-0.5483629858
CAGL0A01760g	0.0763261968	-0.00620302920000005	0.1094619488	0.0507706096999999	0.0701231676	0.1857881456	0.1270968065	0.115664978	0.0569736389	-0.0586913391
CAGL0A01782g	0.2795848544	-0.0566645308000001	-0.3508740808	0.0600072794999999	0.2229203236	-0.0712892264	0.3395921339	-0.29420955	0.1166718103	0.4108813603
CAGL0A01804g	1.020162812	0.0589684953	-0.3559831517	-0.2269073751	1.0791313073	0.6641796603	0.7932554369	-0.414951647	-0.2858758704	0.1290757766
CAGL0A01826g	0.190751358	-0.0451155516999999	-0.0220411880999999	-0.0331768342	0.1456358063	0.1687101699	0.1575745238	0.0230743636	0.0119387175000000	-0.0111356461000000
CAGL0A01848g	0.0523518926000001	0.0618531957	0.1976686932	-0.0812452288	0.1142050883	0.2500205858	-0.0288933362	0.1358154975	-0.1430984245	-0.278913922
CAGL0A01870g	-0.11848577600	0.433599574900000	0.7373571211	0.174306226500000	0.3151137989	0.6188713451	0.0558204504999999	0.3037575462	-0.2592933484	-0.5630508946
CAGL0A01892g	-0.1782397193	0.258130792	0.192392726300000	0.0345498453999998	0.0798910726999999	0.0141530069999999	-0.1436898739	-0.0657380657000002	-0.2235809466	-0.1578428809
CAGL0A01914g	0.059928235209241	-0.100634195	0.132923458109241	0.0914128106	-0.040705959790759	0.192851693318482	0.151341045809241	0.233557653109241	0.1920470056	-0.0415106475092409
CAGL0A01958g	0.0567853841	-0.0430814507	-0.2628980207	-0.0860498115	0.0137039334000000	-0.2061126366	-0.0292644274	-0.21981657	-0.0429683608000001	0.1768482092
CAGL0A01980g	0.1370466751	-0.0862622610000001	-0.115743509100000	-0.2034809103	0.0507844141	0.0213031659999999	-0.0664342352	-0.0294812481000001	-0.1172186493	-0.0877374012
CAGL0A02002g	-1.7730880985	1.2902613166	2.6423981993	-0.7783287399	-0.4828267819	0.8693101008	-2.5514168384	1.3521368827	-2.0685900565	-3.4207269392
CAGL0A02024g	-0.2428638301	0.1984213102	0.7236046984	-0.172621430200000	-0.0444425199000001	0.4807408683	-0.4154852603	0.5251833882	-0.3710427404	-0.8962261286
CAGL0A02046g	0.0613465908	0.194940822	0.142107873900000	-0.2373922506	0.2562874128	0.2034544647	-0.1760456598	-0.0528329481000001	-0.4323330726	-0.3795001245
CAGL0A02090g	0.2058169183	-0.1370047038	-0.1217150872	0.2108835718	0.0688122145	0.0841018311	0.4167004901	0.0152896166000001	0.3478882756	0.332598659
CAGL0A02112g	0.3709629703	-0.1899528903	-0.1936847407	0.1748054243	0.18101008	0.1772782296	0.5457683946	-0.00373185039999994	0.3647583146	0.368490165
CAGL0A02134g	0.0204562459000000	-0.0150528732000000	-0.0156938752	-0.1045257442	0.0054033727	0.0047623707	-0.0840694983	-0.000641002000000025	-0.089472871	-0.088831869
CAGL0A02145g	-0.11698914	-0.04502405	-0.0349434733000000	0.0317387657999999	-0.16201319	-0.1519326133	-0.0852503742	0.0100805766999999	0.0767628157999999	0.0666822391
CAGL0A02189g	0.274831601	-0.0977801638	-0.150628771	-0.0890272522	0.1770514372	0.12420283	0.1858043488	-0.0528486072	0.0087529116	0.0616015188
CAGL0A02211g	0.180594937100000	-0.5457161268	-0.7671039828	0.1864776882	-0.3651211897	-0.5865090457	0.3670726253	-0.221387856	0.732193815	0.953581671
CAGL0A02233g	0.1880664187	-0.5377262644	-0.8018406461	0.1354255827	-0.3496598457	-0.6137742274	0.3234920014	-0.2641143817	0.6731518471	0.9372662288
CAGL0A02277g	0.5670217931	0.1530682957	0.000112289399999987	-0.031344843	0.7200900888	0.5671340825	0.5356769501	-0.1529560063	-0.1844131387	-0.0314571324
CAGL0A02299g	0.6496680401	0.8335897645	1.3782199391	-0.079580987	1.4832578046	2.0278879792	0.5700870531	0.5446301746	-0.9131707515	-1.4578009261
CAGL0A02321g	1.2539180756	-0.1698573921	-0.4833580036	-0.7606943412	1.0840606835	0.770560072	0.4932237344	-0.3135006115	-0.5908369491	-0.2773363376
CAGL0A02343g	0.0454290817	0.073206066	-0.0633950149	0.1571490701	0.1186351477	-0.0179659331999999	0.2025781518	-0.1366010809	0.0839430041	0.220544085
CAGL0A02365g	0.3687358276	-0.0169152715000000	-0.1901464754	-0.225546465	0.3518205561	0.1785893522	0.1431893626	-0.1732312039	-0.2086311935	-0.0353999895999999
CAGL0A02387g	0.1291370024	-0.174332165	0.0852449833	0.0273953551000001	-0.0451951626	0.2143819857	0.1565323575	0.2595771483	0.2017275201	-0.0578496282
CAGL0A02409g	-0.1101488068	-0.0202471289000000	0.0269062615000000	0.1771985416	-0.1303959357	-0.0832425452999999	0.0670497348	0.0471533904	0.1974456705	0.1502922801
CAGL0A02431g	0.4403486606	-0.0479911239000001	-0.2343108774	-0.2484052341	0.3923575367	0.2060377832	0.1919434265	-0.1863197535	-0.2004141102	-0.0140943567000000
CAGL0A02475g	0.1644108319	-0.2679812665	-0.1836230564	-0.00951622920000004	-0.1035704346	-0.0192122245000000	0.1548946027	0.0843582101	0.2584650373	0.1741068272
CAGL0A02486g	0.108613534	-0.2718434723	-0.13556713	-0.0288533352	-0.1632299383	-0.026953596	0.0797601988	0.1362763423	0.2429901371	0.1067137948
CAGL0A02508g	0.2339183634	-0.0680206451	0.1339268848	-0.00953489080000002	0.1658977183	0.3678452482	0.2243834726	0.2019475299	0.0584857543	-0.1434617756
CAGL0A02530g	0.1498789449	-0.0128009131000000	0.1528508737	-0.104982471700000	0.1370780318	0.3027298186	0.0448964732	0.1656517868	-0.092181558600	-0.2578333454
CAGL0A02552g	0.015238408	-0.077408855	-0.0471436242	0.0164645922	-0.062170447	-0.0319052162	0.0317030002000000	0.0302652308	0.0938734472	0.0636082164
CAGL0A02574g	0.462491764	-0.331059835	-0.1282419991	-0.3588434584	0.131431929	0.3342497649	0.1036483056	0.2028178359	-0.0277836234000001	-0.2306014593
CAGL0A02596g	0.1544370676	-0.2666330997	-0.1820798678	0.0631998911	-0.1121960321	-0.0276428002	0.2176369587	0.0845532319	0.3298329908	0.2452797589
CAGL0A02618g	0.0856448792999999	-0.0606910897	0.0456826965999999	-0.3307423091	0.0249537896000000	0.1313275759	-0.2450974298	0.1063737863	-0.2700512194	-0.3764250057
CAGL0A02629g	0.1799481394	0.0476487233	0.1685584123	-0.1476076172	0.2275968627	0.3485065517	0.0323405222	0.120909689	-0.1952563405	-0.3161660295
CAGL0A02651g	-0.00194975040000001	-0.0888377162	-0.0173393145999999	0.0622909509	-0.0907874666	-0.0192890650000000	0.0603412005	0.0714984016	0.1511286671	0.0796302655
CAGL0A02673g	0.0663961457	-0.1177933586	-0.0142636999000000	0.1164971392	-0.0513972129	0.0521324458	0.1828932849	0.1035296587	0.2342904978	0.1307608391
CAGL0A02695g	-0.0160267627	-0.0562098264	-0.080867278	0.0250984697	-0.0722365891	-0.0968940407	0.00907170699999999	-0.0246574516000000	0.0813082961	0.1059657477
CAGL0A02706g	-0.0337188563000000	-0.1242516021	-0.0605489306	0.0394871633999999	-0.1579704584	-0.0942677869	0.0057683071	0.0637026715	0.1637387655	0.100036094
CAGL0A02728g	-0.1390757591	0.00528947479999997	0.117348479400000	-0.1304442443	-0.1337862843	-0.0217272797000001	-0.2695200034	0.112059004600000	-0.135733719100000	-0.2477927237
CAGL0A02750g	0.0434267878	-0.0181536263000000	0.0327776880999999	-0.0182941675000001	0.0252731615	0.0762044759	0.0251326203000000	0.0509313144	-0.000140541200000055	-0.0510718556
CAGL0A02772g	0.0344476523000000	-0.1239145406	-0.2065972545	-0.0916905346	-0.0894668883	-0.1721496022	-0.0572428822999999	-0.0826827139	0.032224006	0.1149067199
CAGL0A02794g	0.1636159426	-0.1605344231	-0.2101145003	-0.072625416	0.00308151950000001	-0.046498557700	0.0909905266	-0.0495800772	0.0879090071	0.1374890843
CAGL0A02816g	1.2149992084	-0.3723051376	-0.3865722366	-0.5063359689	0.8426940708	0.8284269718	0.7086632395	-0.0142670989999999	-0.1340308313	-0.1197637323
CAGL0A02838g	-0.0467699333	0.0313019057000000	-0.0412890629	-0.1975963506	-0.0154680275999999	-0.0880589962	-0.2443662839	-0.0725909686	-0.2288982563	-0.1563072877
CAGL0A02860g	-0.105358467	-0.0469949425999999	-0.2563400966	-0.1650415873	-0.1523534096	-0.3616985636	-0.2704000543	-0.209345154	-0.1180466447	0.0912985093
CAGL0A02882g	-0.325711261	0.1714372961	0.1204707136	-0.00988944219999997	-0.1542739649	-0.2052405474	-0.3356007032	-0.0509665825	-0.1813267383	-0.1303601558
